source_file,video_id,possession_id,home_team,away_team,event_id,event_label,player,raw_result,caption,raw_start_sec,raw_end_sec,raw_duration_sec,effective_start_sec,effective_end_sec,effective_duration_sec,is_shot,shot_type,shot_outcome
100_home_team(blue)_attack_foul.json,20221107_GSW_SAC,poss_100_home_team(blue)_attack_foul,GSW,SAC,ev_1,Dribble,Stephen Curry,success,Stephen Curry dribbles the ball.,0.0,4.2,4.2,0.0,4.2,4.2,0,,
100_home_team(blue)_attack_foul.json,20221107_GSW_SAC,poss_100_home_team(blue)_attack_foul,GSW,SAC,ev_2,PassBall,Stephen Curry,success,Stephen Curry makes a pass.,4.2,6.0,1.8,4.2,6.0,1.8,0,,
100_home_team(blue)_attack_foul.json,20221107_GSW_SAC,poss_100_home_team(blue)_attack_foul,GSW,SAC,ev_3,Dribble,Draymond Green,fouled,Draymond Green is fouled while dribbling.,6.0,8.0,2.0,6.0,8.0,2.0,0,,
101_home_team(blue)_steal&fastbreak_successed_2pt.json,20221107_GSW_SAC,poss_101_home_team(blue)_steal&fastbreak_successed_2pt,GSW,SAC,ev_1,Dribble,De'Aaron Fox,turnover,De'Aaron Fox turnover: lost ball.,0.0,10.1,10.1,0.0,8.4,8.4,0,,
101_home_team(blue)_steal&fastbreak_successed_2pt.json,20221107_GSW_SAC,poss_101_home_team(blue)_steal&fastbreak_successed_2pt,GSW,SAC,ev_2,Steal,Andrew Wiggins,success,Andrew Wiggins steals the ball.,8.4,10.2,1.8,8.4,10.2,1.8,0,,
101_home_team(blue)_steal&fastbreak_successed_2pt.json,20221107_GSW_SAC,poss_101_home_team(blue)_steal&fastbreak_successed_2pt,GSW,SAC,ev_3,Dribble,Andrew Wiggins,success,Andrew Wiggins dribbles the ball.,10.2,12.0,1.8,10.2,12.0,1.8,0,,
101_home_team(blue)_steal&fastbreak_successed_2pt.json,20221107_GSW_SAC,poss_101_home_team(blue)_steal&fastbreak_successed_2pt,GSW,SAC,ev_4,Layup,Andrew Wiggins,made,Andrew Wiggins makes layup.,12.0,14.1,2.1,12.0,14.1,2.1,1,Layup,MADE
102_away_team(white)_attack_failed.json,20221107_GSW_SAC,poss_102_away_team(white)_attack_failed,GSW,SAC,ev_1,PassBall,Malik Monk,success,Malik Monk makes a pass.,0.0,1.1,1.1,0.0,1.1,1.1,0,,
102_away_team(white)_attack_failed.json,20221107_GSW_SAC,poss_102_away_team(white)_attack_failed,GSW,SAC,ev_2,Dribble,De'Aaron Fox,success,De'Aaron Fox dribbles the ball.,1.1,5.2,4.1,1.1,5.2,4.1,0,,
102_away_team(white)_attack_failed.json,20221107_GSW_SAC,poss_102_away_team(white)_attack_failed,GSW,SAC,ev_3,PassBall,De'Aaron Fox,success,De'Aaron Fox makes a pass.,5.2,6.2,1.0,5.2,6.2,1.0,0,,
102_away_team(white)_attack_failed.json,20221107_GSW_SAC,poss_102_away_team(white)_attack_failed,GSW,SAC,ev_4,Dribble,Domantas Sabonis,success,Domantas Sabonis dribbles the ball.,6.2,7.1,0.9,6.2,7.1,0.9,0,,
102_away_team(white)_attack_failed.json,20221107_GSW_SAC,poss_102_away_team(white)_attack_failed,GSW,SAC,ev_5,PassBall,Domantas Sabonis,success,Domantas Sabonis makes a pass.,7.1,8.0,0.9,7.1,8.0,0.9,0,,
102_away_team(white)_attack_failed.json,20221107_GSW_SAC,poss_102_away_team(white)_attack_failed,GSW,SAC,ev_6,Dribble,Malik Monk,success,Malik Monk dribbles the ball.,8.0,11.1,3.1,8.0,11.1,3.1,0,,
102_away_team(white)_attack_failed.json,20221107_GSW_SAC,poss_102_away_team(white)_attack_failed,GSW,SAC,ev_7,PassBall,Malik Monk,success,Malik Monk makes a pass.,11.1,12.1,1.0,11.1,12.1,1.0,0,,
102_away_team(white)_attack_failed.json,20221107_GSW_SAC,poss_102_away_team(white)_attack_failed,GSW,SAC,ev_8,Hold,Domantas Sabonis,success,Domantas Sabonis holds the ball.,12.1,13.5,1.4,12.1,13.5,1.4,0,,
102_away_team(white)_attack_failed.json,20221107_GSW_SAC,poss_102_away_team(white)_attack_failed,GSW,SAC,ev_9,Dribble,Domantas Sabonis,success,Domantas Sabonis dribbles the ball.,13.5,17.4,3.9,13.5,17.4,3.9,0,,
102_away_team(white)_attack_failed.json,20221107_GSW_SAC,poss_102_away_team(white)_attack_failed,GSW,SAC,ev_10,Hold,Domantas Sabonis,success,Domantas Sabonis holds the ball.,17.4,19.3,1.9,17.4,19.3,1.9,0,,
102_away_team(white)_attack_failed.json,20221107_GSW_SAC,poss_102_away_team(white)_attack_failed,GSW,SAC,ev_11,PassBall,Domantas Sabonis,success,Domantas Sabonis makes a pass.,19.3,20.5,1.2,19.3,20.5,1.2,0,,
102_away_team(white)_attack_failed.json,20221107_GSW_SAC,poss_102_away_team(white)_attack_failed,GSW,SAC,ev_12,Dribble,Malik Monk,success,Malik Monk dribbles the ball.,20.5,22.2,1.7,20.5,23.0,2.5,0,,
102_away_team(white)_attack_failed.json,20221107_GSW_SAC,poss_102_away_team(white)_attack_failed,GSW,SAC,ev_13,3ptShot,Malik Monk,missed,Malik Monk misses 3-pt jump shot.,23.0,24.4,1.4,23.0,24.3,1.3,1,3ptShot,MISSED
102_away_team(white)_attack_failed.json,20221107_GSW_SAC,poss_102_away_team(white)_attack_failed,GSW,SAC,ev_14,DefensiveRebound,Stephen Curry,success,Stephen Curry gets the defensive rebound.,24.3,25.2,0.9,24.3,25.2,0.9,0,,
103_home_team(blue)_attack_successed_2pt.json,20221107_GSW_SAC,poss_103_home_team(blue)_attack_successed_2pt,GSW,SAC,ev_1,PassBall,Stephen Curry,success,Stephen Curry makes a pass.,0.0,1.4,1.4,0.0,2.0,2.0,0,,
103_home_team(blue)_attack_successed_2pt.json,20221107_GSW_SAC,poss_103_home_team(blue)_attack_successed_2pt,GSW,SAC,ev_2,2ptShot,Andrew Wiggins,made,Andrew Wiggins makes 2-pt jump shot.,2.0,3.2,1.2,2.0,3.2,1.2,1,2ptShot,MADE
104_away_team(white)_attack_foul.json,20221107_GSW_SAC,poss_104_away_team(white)_attack_foul,GSW,SAC,ev_1,Dribble,De'Aaron Fox,success,De'Aaron Fox dribbles the ball.,0.0,5.0,5.0,0.0,5.0,5.0,0,,
104_away_team(white)_attack_foul.json,20221107_GSW_SAC,poss_104_away_team(white)_attack_foul,GSW,SAC,ev_2,PassBall,De'Aaron Fox,success,De'Aaron Fox makes a pass.,5.0,5.3,0.3,5.0,5.3,0.3,0,,
104_away_team(white)_attack_foul.json,20221107_GSW_SAC,poss_104_away_team(white)_attack_foul,GSW,SAC,ev_3,Dribble,Domantas Sabonis,success,Domantas Sabonis dribbles the ball.,5.3,7.1,1.8,5.3,7.1,1.8,0,,
